names,state,party,district,cid
 Ralph Abraham,Louisiana,Republican, District 5,N00036633
 Alma Adams,North Carolina,Democrat, District 12,N00035451
 Robert B Aderholt,Alabama,Republican, District 4,N00003028
 Pete Aguilar,California,Democrat, District 31,N00033997
 Lamar Alexander,Tennessee,Republican, Senate,N00009888
 Richard W Allen,Georgia,Republican, District 12,N00033720
 Colin Allred,Texas,Democrat, District 32,N00040989
 Justin Amash,Michigan,Third Party, District 3,N00031938
 Mark Amodei,Nevada,Republican, District 2,N00031177
 Kelly Armstrong,North Dakota,Republican, District 1,N00042868
 Jodey Arrington,Texas,Republican, District 19,N00038285
 Cindy Axne,Iowa,Democrat, District 3,N00041104
 Brian Babin,Texas,Republican, District 36,N00005736
 Donald John Bacon,Nebraska,Republican, District 2,N00037049
 Jim Baird,Indiana,Republican, District 4,N00041954
 Troy Balderson,Ohio,Republican, District 12,N00042194
 Tammy Baldwin,Wisconsin,Democrat, Senate,N00004367
 Jim Banks,Indiana,Republican, District 3,N00037185
 Andy Barr,Kentucky,Republican, District 6,N00031233
 Nanette Barragan,California,Democrat, District 44,N00037019
 John A Barrasso,Wyoming,Republican, Senate,N00006236
 Karen Bass,California,Democrat, District 37,N00031877
 Joyce Beatty,Ohio,Democrat, District 3,N00033904
 Michael Bennet,Colorado,Democrat, Senate,N00030608
 Ami Bera,California,Democrat, District 7,N00030717
 John Bergman,Michigan,Republican, District 1,N00039533
 Jaime Herrera Beutler,Washington,Republican, District 3,N00031559
 Don Beyer,Virginia,Democrat, District 8,N00036018
 Andy Biggs,Arizona,Republican, District 5,N00039293
 Gus Bilirakis,Florida,Republican, District 12,N00027462
 Dan Bishop,North Carolina,Republican, District 9,N00044335
 Rob Bishop,Utah,Republican, District 1,N00025292
 Sanford Bishop,Georgia,Democrat, District 2,N00002674
 Marsha Blackburn,Tennessee,Republican, Senate,N00003105
 Earl Blumenauer,Oregon,Democrat, District 3,N00007727
 Richard Blumenthal,Connecticut,Democrat, Senate,N00031685
 Roy Blunt,Missouri,Republican, Senate,N00005195
 Suzanne Bonamici,Oregon,Democrat, District 1,N00033474
 Cory Booker,New Jersey,Democrat, Senate,N00035267
 John Boozman,Arkansas,Republican, Senate,N00013873
 Mike Bost,Illinois,Republican, District 12,N00035420
 Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307
 Kevin Brady,Texas,Republican, District 8,N00005883
 Mike Braun,Indiana,Republican, Senate,N00041731
 Anthony Brindisi,New York,Democrat, District 22,N00041385
 Mo Brooks,Alabama,Republican, District 5,N00030910
 Susan Brooks,Indiana,Republican, District 5,N00033495
 Anthony Brown,Maryland,Democrat, District 4,N00036999
 Sherrod Brown,Ohio,Democrat, Senate,N00003535
 Julia Brownley,California,Democrat, District 26,N00034254
 Vernon Buchanan,Florida,Republican, District 16,N00027626
 Ken Buck,Colorado,Republican, District 4,N00030829
 Larry Bucshon,Indiana,Republican, District 8,N00031227
 Ted Budd,North Carolina,Republican, District 13,N00039551
 Tim Burchett,Tennessee,Republican, District 2,N00041594
 Michael Burgess,Texas,Republican, District 26,N00025219
 Richard Burr,North Carolina,Republican, Senate,N00002221
 Cheri Bustos,Illinois,Democrat, District 17,N00033390
 G K Butterfield,North Carolina,Democrat, District 1,N00027035
 Bradley Byrne,Alabama,Republican, District 1,N00035380
 Ken Calvert,California,Republican, District 42,N00007099
 Maria Cantwell,Washington,Democrat, Senate,N00007836
 Shelley Moore Capito,West Virginia,Republican, Senate,N00009771
 Salud Carbajal,California,Democrat, District 24,N00037015
 Tony Cardenas,California,Democrat, District 29,N00033373
 Ben Cardin,Maryland,Democrat, Senate,N00001955
 Tom Carper,Delaware,Democrat, Senate,N00012508
 Andre Carson,Indiana,Democrat, District 7,N00029513
 Buddy Carter,Georgia,Republican, District 1,N00035346
 John Carter,Texas,Republican, District 31,N00025095
 Matt Cartwright,Pennsylvania,Democrat, District 8,N00034128
 Ed Case,Hawaii,Democrat, District 1,N00025882
 Bob Casey,Pennsylvania,Democrat, Senate,N00027503
 Bill Cassidy,Louisiana,Republican, Senate,N00030245
 Sean Casten,Illinois,Democrat, District 6,N00041338
 Kathy Castor,Florida,Democrat, District 14,N00027514
 Joaquin Castro,Texas,Democrat, District 20,N00033316
 Steve Chabot,Ohio,Republican, District 1,N00003689
 Liz Cheney,Wyoming,Republican, District 1,N00035504
 Judy Chu,California,Democrat, District 27,N00030600
 David Cicilline,Rhode Island,Democrat, District 1,N00032019
 Gil Cisneros,California,Democrat, District 39,N00041464
 Katherine Clark,Massachusetts,Democrat, District 5,N00035278
 Yvette D Clarke,New York,Democrat, District 9,N00026961
 William L Jr Clay,Missouri,Democrat, District 1,N00012460
 Emanuel Cleaver,Missouri,Democrat, District 5,N00026790
 Ben Cline,Virginia,Republican, District 6,N00042296
 Michael Cloud,Texas,Republican, District 27,N00041882
 James E Clyburn,South Carolina,Democrat, District 6,N00002408
 Steve Cohen,Tennessee,Democrat, District 9,N00003225
 Tom Cole,Oklahoma,Republican, District 4,N00025726
 Bonnie Watson Coleman,New Jersey,Democrat, District 12,N00036158
 Doug Collins,Georgia,Republican, District 9,N00033518
 Susan M Collins,Maine,Republican, Senate,N00000491
 James Comer,Kentucky,Republican, District 1,N00038260
 Mike Conaway,Texas,Republican, District 11,N00026041
 Gerry Connolly,Virginia,Democrat, District 11,N00029891
 Paul Cook,California,Republican, District 8,N00034224
 Chris Coons,Delaware,Democrat, Senate,N00031820
 Jim Cooper,Tennessee,Democrat, District 5,N00003132
 John Cornyn,Texas,Republican, Senate,N00024852
 Lou Correa,California,Democrat, District 46,N00037260
 Jim Costa,California,Democrat, District 16,N00026341
 Tom Cotton,Arkansas,Republican, Senate,N00033363
 Joe Courtney,Connecticut,Democrat, District 2,N00024842
 TJ Cox,California,Democrat, District 21,N00028122
 Angie Craig,Minnesota,Democrat, District 2,N00037039
 Kevin Cramer,North Dakota,Republican, Senate,N00004614
 Mike Crapo,Idaho,Republican, Senate,N00006267
 Rick Crawford,Arkansas,Republican, District 1,N00030770
 Dan Crenshaw,Texas,Republican, District 2,N00042224
 Charlie Crist,Florida,Democrat, District 13,N00002942
 Jason Crow,Colorado,Democrat, District 6,N00040876
 Ted Cruz,Texas,Republican, Senate,N00033085
