,politician,state,party,district,cid,contributor,individual_amount,PAC_amount,total_amount
0,Robert B Aderholt,Alabama,Republican, District 4,N00003028,McWane Inc,38700,0,38700
1,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Collazo Enterprises,22400,0,22400
2,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Southern Co,4309,10000,14309
3,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Leidos Inc,800,13000,13800
4,Robert B Aderholt,Alabama,Republican, District 4,N00003028,"Maynard, Cooper & Gale",3200,10000,13200
5,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Dese Research,11200,0,11200
6,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Balch & Bingham,1000,10000,11000
7,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Sierra Nevada Corp,5600,5000,10600
8,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Boeing Co,250,10000,10250
9,Robert B Aderholt,Alabama,Republican, District 4,N00003028,AbbVie Inc,0,10000,10000
10,Richard W Allen,Georgia,Republican, District 12,N00033720,Pollard Lumber,17800,0,17800
11,Richard W Allen,Georgia,Republican, District 12,N00033720,Khg Fitebac Technology,11200,0,11200
12,Richard W Allen,Georgia,Republican, District 12,N00033720,Asset Advisors,11000,0,11000
13,Richard W Allen,Georgia,Republican, District 12,N00033720,Home Depot,250,10000,10250
14,Richard W Allen,Georgia,Republican, District 12,N00033720,AFLAC Inc,0,10000,10000
15,Richard W Allen,Georgia,Republican, District 12,N00033720,American Crystal Sugar,0,10000,10000
16,Richard W Allen,Georgia,Republican, District 12,N00033720,Majority Cmte PAC,0,10000,10000
17,Richard W Allen,Georgia,Republican, District 12,N00033720,National Auto Dealers Assn,0,10000,10000
18,Richard W Allen,Georgia,Republican, District 12,N00033720,Raytheon Technologies,0,10000,10000
19,Richard W Allen,Georgia,Republican, District 12,N00033720,Southern Co,0,10000,10000
20,Mark Amodei,Nevada,Republican, District 2,N00031177,Sierra Nevada Corp,7600,5500,13100
21,Mark Amodei,Nevada,Republican, District 2,N00031177,Clearpath Foundation,11200,0,11200
22,Mark Amodei,Nevada,Republican, District 2,N00031177,Station Casinos,8400,2500,10900
23,Mark Amodei,Nevada,Republican, District 2,N00031177,Credit Union National Assn,500,10000,10500
24,Mark Amodei,Nevada,Republican, District 2,N00031177,American Bankers Assn,250,10000,10250
25,Mark Amodei,Nevada,Republican, District 2,N00031177,Barrick Gold Corp,0,10000,10000
26,Mark Amodei,Nevada,Republican, District 2,N00031177,Berkshire Hathaway,0,10000,10000
27,Mark Amodei,Nevada,Republican, District 2,N00031177,Currikiorg                                        ,10000,0,10000
28,Mark Amodei,Nevada,Republican, District 2,N00031177,Majority Cmte PAC,0,10000,10000
29,Mark Amodei,Nevada,Republican, District 2,N00031177,National Assn of Home Builders,0,9000,9000
30,Cindy Axne,Iowa,Democrat, District 3,N00041104,Emily's List,65932,10000,75932
31,Cindy Axne,Iowa,Democrat, District 3,N00041104,Democracy Engine,64381,0,64381
32,Cindy Axne,Iowa,Democrat, District 3,N00041104,AmeriPAC: The Fund for a Greater America,21000,10000,31000
33,Cindy Axne,Iowa,Democrat, District 3,N00041104,Centene Corp,20908,5000,25908
34,Cindy Axne,Iowa,Democrat, District 3,N00041104,End Citizens United & Let America Vote,13750,10000,23750
35,Cindy Axne,Iowa,Democrat, District 3,N00041104,University of Iowa,22505,0,22505
36,Cindy Axne,Iowa,Democrat, District 3,N00041104,J Street,18862,2500,21362
37,Cindy Axne,Iowa,Democrat, District 3,N00041104,PAC to the Future,0,20000,20000
38,Cindy Axne,Iowa,Democrat, District 3,N00041104,Democratic Congressional Campaign Cmte,19974,0,19974
39,Cindy Axne,Iowa,Democrat, District 3,N00041104,Alphabet Inc,19349,0,19349
40,Jim Baird,Indiana,Republican, District 4,N00041954,American Crystal Sugar,0,10000,10000
41,Jim Baird,Indiana,Republican, District 4,N00041954,Majority Cmte PAC,0,10000,10000
42,Jim Baird,Indiana,Republican, District 4,N00041954,With Honor PAC,0,7500,7500
43,Jim Baird,Indiana,Republican, District 4,N00041954,Gaylor Electric,7066,0,7066
44,Jim Baird,Indiana,Republican, District 4,N00041954,Barnes & Thornburg,6050,1000,7050
45,Jim Baird,Indiana,Republican, District 4,N00041954,Cook Group,6050,1000,7050
46,Jim Baird,Indiana,Republican, District 4,N00041954,Associated Builders & Contractors,1000,5000,6000
47,Jim Baird,Indiana,Republican, District 4,N00041954,AT&T Inc,0,6000,6000
48,Jim Baird,Indiana,Republican, District 4,N00041954,Indiana ACRE,0,6000,6000
49,Jim Baird,Indiana,Republican, District 4,N00041954,National Assn of Realtors,0,6000,6000
50,Jim Banks,Indiana,Republican, District 3,N00037185,MacAndrews & Forbes,14850,10000,24850
51,Jim Banks,Indiana,Republican, District 3,N00037185,Raytheon Technologies,0,13000,13000
52,Jim Banks,Indiana,Republican, District 3,N00037185,Boeing Co,1025,10000,11025
53,Jim Banks,Indiana,Republican, District 3,N00037185,Lockheed Martin,1,10000,10001
54,Jim Banks,Indiana,Republican, District 3,N00037185,American Bankers Assn,0,10000,10000
55,Jim Banks,Indiana,Republican, District 3,N00037185,BAE Systems,0,10000,10000
56,Jim Banks,Indiana,Republican, District 3,N00037185,Eli Lilly & Co,0,10000,10000
57,Jim Banks,Indiana,Republican, District 3,N00037185,Home Depot,0,10000,10000
58,Jim Banks,Indiana,Republican, District 3,N00037185,Honeywell International,0,10000,10000
59,Jim Banks,Indiana,Republican, District 3,N00037185,L3Harris Technologies,0,10000,10000
60,John A Barrasso,Wyoming,Republican, Senate,N00006236,Neurological Surgery Pc,43200,0,43200
61,John A Barrasso,Wyoming,Republican, Senate,N00006236,Medquest Pharmacy,16000,0,16000
62,John A Barrasso,Wyoming,Republican, Senate,N00006236,Vertex Pharmaceuticals,7700,5000,12700
63,John A Barrasso,Wyoming,Republican, Senate,N00006236,US Navy,11230,0,11230
64,John A Barrasso,Wyoming,Republican, Senate,N00006236,Chartwell Hotels Arbor Realty,11200,0,11200
65,John A Barrasso,Wyoming,Republican, Senate,N00006236,Clearpath Foundation,11200,0,11200
66,John A Barrasso,Wyoming,Republican, Senate,N00006236,American Academy of Emergency Medicine,0,10000,10000
67,John A Barrasso,Wyoming,Republican, Senate,N00006236,Cloud Peak Energy,0,10000,10000
68,John A Barrasso,Wyoming,Republican, Senate,N00006236,Energy Fuels,10000,0,10000
